MARKET,ITEMCODE,INAME,IMENUCAT,PRODUCTCAT,PRODUCTFAM
MCDAU,121,BIG BREAKFAST,Bkfast Entrée,APMEA CORE,BIG BREAKFAST
MCDCN,6600,EVB-Big Breakfast+L.Corn,Bkfast Value Meal,APMEA CORE,BIG BREAKFAST
MCDCN,6670,EVB-Big Breakfast,Bkfast Value Meal,APMEA CORE,BIG BREAKFAST
MCDJP,99844090,Other CPN - ALC Set - Big Breakfast,Breakfast Entree,APMEA CORE,BIG BREAKFAST
MCDHK,5000,Deluxe Breakfast,Breakfast Entrée,APMEA CORE,BIG BREAKFAST
MCDHK,6421,Deluxe Breakfast Meal,EVB,APMEA CORE,BIG BREAKFAST
MCDKR,1962,Big Breakfast ALC,Bkfast Entrée,APMEA CORE,BIG BREAKFAST
MCDKR,1963,Big Breakfast - EVB,Bkfast EVM,APMEA CORE,BIG BREAKFAST
MCDPH,1657,Big Breakfast Rice (2-pc VM) (MDS),3-pcs Breakfast EVM,APMEA CORE,BIG BREAKFAST
MCDPH,7245,Big Breakfast McMuffin Bkfast EVM,3-pcs Breakfast EVM,APMEA CORE,BIG BREAKFAST
MCDPH,7212,Big Breakfast Rice (2-pc VM) - Old,2-pcs Breakfast EVM,APMEA CORE,BIG BREAKFAST
MCDPH,7213,Big Breakfast McMuffin (2-pc VM) - Old,2-pcs Breakfast EVM,APMEA CORE,BIG BREAKFAST
MCDPH,-1055,Big Breakfast Rice,Breakfast Entrees,APMEA CORE,BIG BREAKFAST
MCDPH,-1054,Big Breakfast,Breakfast Entrees,APMEA CORE,BIG BREAKFAST
MCDPH,-7287,Big Breakfast (2-pc VM),3-pcs Breakfast EVM,APMEA CORE,BIG BREAKFAST
MCDPH,-7255,Big Breakfast McMuffin Bkfast EVM,3-pcs Breakfast EVM,APMEA CORE,BIG BREAKFAST
MCDID,-6303,Big Breakfast + Coffee/Tea,Bkfast Value Meal,APMEA CORE,BIG BREAKFAST
MCDID,-6302,Big Breakfast,Breakfast Entrees,APMEA CORE,BIG BREAKFAST
MCDPH,7288,Big Breakfast Rice (2-pc VM),3-pcs Breakfast EVM,APMEA CORE,BIG BREAKFAST
MCDJP,7004090,BVM - S - Big Breakfast,BVM,APMEA CORE,BIG BREAKFAST
MCDJP,7004092,BVM - S - Big Breakfast (Muffin) (Navy),BVM,APMEA CORE,BIG BREAKFAST
MCDJP,7044090,Other CPN - BVM - S - Big Breakfast,BVM,APMEA CORE,BIG BREAKFAST
MCDJP,7044092,Other CPN - BVM - S - Big Breakfast (Muffin) (Navy),Pending,APMEA CORE,BIG BREAKFAST
MCDJP,7104090,BVM - M - Big Breakfast,BVM,APMEA CORE,BIG BREAKFAST
MCDJP,7104092,BVM - M - Big Breakfast (Muffin) (Navy),BVM,APMEA CORE,BIG BREAKFAST
MCDJP,7204090,BVM - Sp - Big Breakfast,BVM,APMEA CORE,BIG BREAKFAST
MCDJP,7204092,BVM - Sp - Big Breakfast (Muffin) (Navy),BVM,APMEA CORE,BIG BREAKFAST
MCDJP,7244090,Other CPN - BVM - Sp - Big Breakfast,BVM,APMEA CORE,BIG BREAKFAST
MCDJP,7244092,Other CPN - BVM - Sp - Big Breakfast (Muffin) (Navy),BVM,APMEA CORE,BIG BREAKFAST
MCDSG,-708247,Big Breakfast Bkfst EVM - Value,Value Breakfast,APMEA CORE,BIG BREAKFAST
MCDSG,-708210,Big Breakfast Bkfst EVM,Bkfast Value Meal,APMEA CORE,BIG BREAKFAST
MCDSG,-707100,Big Breakfast,Bkfast Entree,APMEA CORE,BIG BREAKFAST
MCDNZ,127,KIWI BIGBREAKFAST,Breakfast Entrée,APMEA CORE,BIG BREAKFAST
MCDTW,-5925,EBM-Big Breakfast,Bkfast EVM,APMEA CORE,BIG BREAKFAST
MCDTW,-2060,Big Breakfast,Bkfast Entree,APMEA CORE,BIG BREAKFAST
MCDJP,16604090,Combi - Breakfast - Big Breakfast,BVM,APMEA CORE,BIG BREAKFAST
MCDJP,16604092,Combi - Breakfast - Big Breakfast (Muffin) (Navy),BVM,APMEA CORE,BIG BREAKFAST
MCDJP,16614005,Kasazu CPN - Combi - Breakfast - Big Breakfast,BVM,APMEA CORE,BIG BREAKFAST
MCDJP,16624005,MSM CPN - Combi - Breakfast - Big Breakfast,BVM,APMEA CORE,BIG BREAKFAST
MCDJP,16634005,Combi - Breakfast - Big Breakfast,BVM,APMEA CORE,BIG BREAKFAST
MCDCN,5010,Big Breakfast,Bkfast Entree,APMEA CORE,BIG BREAKFAST
MCDTW,35669,CP $49 Big Breakfast,Bkfast Entree,APMEA CORE,BIG BREAKFAST
MCDAU,-6442,NVL BIG MAC VM - MED - AGG,Value Lunch,GLOBAL CORE,BIG MAC
MCDAU,-2534,LRG BIG MAC VM,Large EVM,GLOBAL CORE,BIG MAC
MCDAU,-2533,MED BIG MAC VM,Medium EVM,GLOBAL CORE,BIG MAC
MCDAU,-2532,SML BIG MAC VM,Small EVM,GLOBAL CORE,BIG MAC
MCDCN,6337,CM-Bigmac+SCFB+2L.Coke,Discount Combo,GLOBAL CORE,BIG MAC
MCDCN,6481,July-Tao Big Mac,Discount Combo,GLOBAL CORE,BIG MAC
MCDJP,99841213,Other CPN - ALC Set - Big Mac (Navy),Entree,GLOBAL CORE,BIG MAC
MCDJP,99841215,Other CPN - ALC Set - Big Mac,Entree,GLOBAL CORE,BIG MAC
MCDAU,2531,BIG MAC,Entrée,GLOBAL CORE,BIG MAC
MCDAU,3210,BIGMAC LUNCH DEAL,Value Lunch,GLOBAL CORE,BIG MAC
MCDAU,3411,BIG MAC SLD VM - SML,Small EVM,GLOBAL CORE,BIG MAC
MCDAU,3412,BIG MAC SLD VM - MED,Medium EVM,GLOBAL CORE,BIG MAC
MCDAU,3413,BIG MAC SLD VM - LGE,Large EVM,GLOBAL CORE,BIG MAC
MCDAU,3537,BIG MAC VALUE MEAL,Large EVM,GLOBAL CORE,BIG MAC
MCDAU,3701,$2 BIG MAC,Entrée,GLOBAL CORE,BIG MAC
MCDCN,8726,Bigmac+5Ngget+L.Fries,Discount Combo,GLOBAL CORE,BIG MAC
MCDCN,8787,Bigmac+5Ngget+L.Fries+L.Coke+Pie,Discount Combo,GLOBAL CORE,BIG MAC
MCDHK,-9608,EVML BIGMAC NP6,All EVM (Combined),GLOBAL CORE,BIG MAC
MCDHK,1100,Big Mac,Entrees,GLOBAL CORE,BIG MAC
MCDJP,99901213,Misc Set - Big Mac (Navy),Entree,GLOBAL CORE,BIG MAC
MCDAU,6452,NVL BIG MAC VM - MED SLD,Value Lunch,GLOBAL CORE,BIG MAC
MCDHK,6006,$20 BIGMAC Value Dinner EVM,All EVM (Combined),GLOBAL CORE,BIG MAC
MCDHK,6106,BIG MAC EVM,All EVM (Combined),GLOBAL CORE,BIG MAC
MCDHK,6175,Big Mac EVM+,All EVM (Combined),GLOBAL CORE,BIG MAC
MCDHK,6361,$17 Big Mac +,Entrees,GLOBAL CORE,BIG MAC
MCDAU,8208,$4.75 LRG BIG MAC VM,Large EVM,GLOBAL CORE,BIG MAC
MCDAU,8261,2 BIG MAC'S LSM,Combo,GLOBAL CORE,BIG MAC
MCDAU,8294,2 BIG MAC's $5.95,Combo,GLOBAL CORE,BIG MAC
MCDAU,8299,$1 BIG MAC,Entrée,GLOBAL CORE,BIG MAC
MCDAU,8300,2 BIG MAC's $4.50,Combo,GLOBAL CORE,BIG MAC
MCDAU,8303,2 BIG MAC's $4,Combo,GLOBAL CORE,BIG MAC
MCDAU,8304,2 BIG MAC'S $4.95,Combo,GLOBAL CORE,BIG MAC
MCDAU,8307,2 BIG MAC'S $5,Combo,GLOBAL CORE,BIG MAC
MCDAU,8310,$3 BIG MAC,Entrée,GLOBAL CORE,BIG MAC
MCDAU,8324,Big Mac VM LSM Sml,Small EVM,GLOBAL CORE,BIG MAC
MCDAU,8325,MED BIG MAC VM LSM,Medium EVM,GLOBAL CORE,BIG MAC
MCDAU,8340,2 MED BIGMAC LSM NP6,Medium EVM,GLOBAL CORE,BIG MAC
MCDHK,9616,EVML BIGMAC (ORG) NP6,All EVM (Combined),GLOBAL CORE,BIG MAC
MCDJP,-1215,Big Mac ALC,Entree,GLOBAL CORE,BIG MAC
MCDJP,1213,Big Mac (Navy) ALC,Entree,GLOBAL CORE,BIG MAC
MCDKR,-1301,Big Mac,Entrees,GLOBAL CORE,BIG MAC
MCDKR,-1101,Big Mac - Reg EVM,Regular EVM - Rest-Of-Day,GLOBAL CORE,BIG MAC
MCDKR,1001,Big Mac - Lg EVM,Large EVM - Rest-Of-Day,GLOBAL CORE,BIG MAC
MCDKR,2101,Lunch - Big Mac - Lg EVM,Large EVM - Lunch,GLOBAL CORE,BIG MAC
MCDKR,2601,Lunch - Big Mac - Reg EVM,Regular EVM - Lunch,GLOBAL CORE,BIG MAC
MCDPH,8561,Mini Food Strap - BigMac,LSM,GLOBAL CORE,BIG MAC
MCDPH,-7050,Big Mac Sml EVM,Reg EVM,GLOBAL CORE,BIG MAC
MCDPH,-4401,Big Mac Med EVM,Med EVM,GLOBAL CORE,BIG MAC
MCDJP,2001215,EVM - MS - Big Mac,EVM (M),GLOBAL CORE,BIG MAC
MCDJP,2101215,EVM - MM - Big Mac,EVM (M),GLOBAL CORE,BIG MAC
MCDPH,5002,BOG - Big Mac ,Coupons & Natl Promo,GLOBAL CORE,BIG MAC
MCDPH,8671,Metrobank - Bigmac ALC,LSM,GLOBAL CORE,BIG MAC
MCDJP,2111215,Kasazu CPN - EVM - MM - Big Mac,EVM (M),GLOBAL CORE,BIG MAC
MCDJP,2121215,MSM CPN - EVM - MM - Big Mac,EVM (M),GLOBAL CORE,BIG MAC
MCDJP,2131215,EVM - MM - Big Mac,EVM (M),GLOBAL CORE,BIG MAC
MCDJP,2141215,Other CPN - EVM - MM - Big Mac,EVM (M),GLOBAL CORE,BIG MAC
MCDJP,2201215,EVM - ML - Big Mac,EVM (M),GLOBAL CORE,BIG MAC
MCDJP,2241215,Other CPN - EVM - ML - Big Mac,EVM (M),GLOBAL CORE,BIG MAC
MCDPH,-2060,Big Mac,Entrees,GLOBAL CORE,BIG MAC
MCDID,-2386,Big Mac Large EVM,Large EVM,GLOBAL CORE,BIG MAC
MCDID,-2372,Big Mac Reg EVM,Regular EVM,GLOBAL CORE,BIG MAC
MCDID,-2030,Big Mac,Entrees,GLOBAL CORE,BIG MAC
MCDJP,2301213,EVM - MSp - Big Mac (Navy),EVM (M),GLOBAL CORE,BIG MAC
MCDJP,2301215,EVM - MSp - Big Mac,EVM (M),GLOBAL CORE,BIG MAC
MCDJP,2311215,Kasazu CPN - EVM - MSp - Big Mac,EVM (M),GLOBAL CORE,BIG MAC
MCDJP,2321215,MSM CPN - EVM - MSp - Big Mac,EVM (M),GLOBAL CORE,BIG MAC
MCDJP,2331215,EVM - MSp - Big Mac,EVM (M),GLOBAL CORE,BIG MAC
MCDJP,2341213,Other CPN - EVM - MSp - Big Mac (Navy),EVM (M),GLOBAL CORE,BIG MAC
MCDJP,2341215,Other CPN - EVM - MSp - Big Mac,EVM (M),GLOBAL CORE,BIG MAC
MCDJP,3001215,EVM - LS - Big Mac,EVM (L),GLOBAL CORE,BIG MAC
MCDJP,3101215,EVM - LM - Big Mac,EVM (L),GLOBAL CORE,BIG MAC
MCDJP,3141215,Other CPN - EVM - LM - Big Mac,EVM (L),GLOBAL CORE,BIG MAC
MCDJP,3201215,EVM - LL - Big Mac,EVM (L),GLOBAL CORE,BIG MAC
MCDJP,3211215,Kasazu CPN - EVM - LL - Big Mac,EVM (L),GLOBAL CORE,BIG MAC
MCDJP,3221215,MSM CPN - EVM - LL - Big Mac,EVM (L),GLOBAL CORE,BIG MAC
MCDJP,3231215,EVM - LL - Big Mac,EVM (L),GLOBAL CORE,BIG MAC
MCDJP,3241215,Other CPN - EVM - LL - Big Mac,EVM (L),GLOBAL CORE,BIG MAC
MCDJP,3301213,EVM - LSp - Big Mac (Navy),Pending,GLOBAL CORE,BIG MAC
MCDJP,3301215,EVM - LSp - Big Mac,EVM (L),GLOBAL CORE,BIG MAC
MCDJP,3311215,Kasazu CPN - EVM - LSp - Big Mac,EVM (L),GLOBAL CORE,BIG MAC
MCDJP,3321215,MSM CPN - EVM - LSp - Big Mac,EVM (L),GLOBAL CORE,BIG MAC
MCDJP,3331215,EVM - LSp - Big Mac,EVM (L),GLOBAL CORE,BIG MAC
MCDJP,3341215,Other CPN - EVM - LSp - Big Mac,EVM (L),GLOBAL CORE,BIG MAC
MCDJP,4001215,EVM - SalS - Big Mac,EVM (SP),GLOBAL CORE,BIG MAC
MCDJP,4101215,EVM - SalM - Big Mac,EVM (SP),GLOBAL CORE,BIG MAC
MCDJP,4141215,Other CPN - EVM - SalM - Big Mac,EVM (SP),GLOBAL CORE,BIG MAC
MCDJP,4201215,EVM - SalL - Big Mac,EVM (SP),GLOBAL CORE,BIG MAC
MCDJP,4241215,Other CPN - EVM - SalL - Big Mac,EVM (SP),GLOBAL CORE,BIG MAC
MCDJP,4301215,EVM - SalSp - Big Mac,EVM (SP),GLOBAL CORE,BIG MAC
MCDJP,4341215,Other CPN - EVM - SalSp - Big Mac,EVM (SP),GLOBAL CORE,BIG MAC
MCDJP,4801213,EVM - SpSp - Big Mac (Navy),EVM (SP),GLOBAL CORE,BIG MAC
MCDJP,4841213,Other CPN - EVM - SpSp - Big Mac (Navy),EVM (SP),GLOBAL CORE,BIG MAC
MCDJP,6301215,EVM - MSpSp - Big Mac,EVM (SP),GLOBAL CORE,BIG MAC
MCDCN,-3999,BigMac Large Lunch EVM,Lunch-Large EVM,GLOBAL CORE,BIG MAC
MCDCN,-3973,Big Mac Large EVM,Large EVM,GLOBAL CORE,BIG MAC
MCDCN,-2198,BigMac Lunch Medium EVM,Lunch-Medium EVM,GLOBAL CORE,BIG MAC
MCDCN,-1741,Big Mac Medium EVM,Medium EVM,GLOBAL CORE,BIG MAC
MCDCN,-1321,BigMac Lunch Medium EVM (Twister Fries) ,Lunch-Medium EVM,GLOBAL CORE,BIG MAC
MCDCN,-1320,Big Mac Medium EVM (Twster Fries),Medium EVM,GLOBAL CORE,BIG MAC
MCDJP,6341213,Other CPN - EVM - MSpSp - Big Mac (Navy),EVM (SP),GLOBAL CORE,BIG MAC
MCDCN,1100,Big Mac,Entree,GLOBAL CORE,BIG MAC
MCDCN,1272,JulyYM-BigMac+Fish+2M.HP+M.F+Sande,Discount Combo,GLOBAL CORE,BIG MAC
MCDCN,1504,M6,Discount Combo,GLOBAL CORE,BIG MAC
MCDCN,2012,BigMac/2Pcs Wings,Discount Combo,GLOBAL CORE,BIG MAC
MCDJP,9631215,Combi - Drink - M - Big Mac,Drink Combi,GLOBAL CORE,BIG MAC
MCDSG,-123585,Big Mac Large EVM,Large EVM,GLOBAL CORE,BIG MAC
MCDSG,-123313,Big Mac Large EVM (Lunch),Lunch - Large EVM,GLOBAL CORE,BIG MAC
MCDSG,-113413,Big Mac Medium EVM (Lunch),Lunch - Regular EVM,GLOBAL CORE,BIG MAC
MCDSG,-113385,Big Mac Medium EVM,Regular EVM,GLOBAL CORE,BIG MAC
MCDSG,100500,Big Mac,Entree,GLOBAL CORE,BIG MAC
MCDCN,2067,2011V3-KTLA-MigMac,Entree,GLOBAL CORE,BIG MAC
MCDCN,2373,VC-Bigmac,Entree,GLOBAL CORE,BIG MAC
MCDJP,9831215,Combi - Drink -SP - Big Mac,Drink Combi,GLOBAL CORE,BIG MAC
MCDJP,10011215,Kasazu CPN - Family Bundle A - Base - Big Mac,Family Bundle A,GLOBAL CORE,BIG MAC
MCDJP,10031215,Family Bundle A - Base - Big Mac,Family Bundle A,GLOBAL CORE,BIG MAC
MCDJP,10111215,Kasazu CPN - Family Bundle A - Upsize/Downsize - Big Mac,Family Bundle A,GLOBAL CORE,BIG MAC
MCDJP,10131215,Family Bundle A - Upsize/Downsize - Big Mac,Family Bundle A,GLOBAL CORE,BIG MAC
MCDNZ,-8655,MED BIG MAC LD,VL EVM,GLOBAL CORE,BIG MAC
MCDNZ,-25,LGE BIG MAC,Large EVM,GLOBAL CORE,BIG MAC
MCDNZ,-24,MED BIG MAC,Medium EVM,GLOBAL CORE,BIG MAC
MCDNZ,4,BIG MAC,Entrée,GLOBAL CORE,BIG MAC
MCDNZ,42,2 BIG MACS $6,Combo,GLOBAL CORE,BIG MAC
MCDNZ,43,2 BIG MACS $5,Combo,GLOBAL CORE,BIG MAC
MCDNZ,588,2 BIG MAC $7,Combo,GLOBAL CORE,BIG MAC
MCDNZ,590,2 BIG MACS LSM,Combo,GLOBAL CORE,BIG MAC
MCDNZ,597,2 BIG MACS $8,Combo,GLOBAL CORE,BIG MAC
MCDNZ,599,2 BIG MACS L/FRIES,Combo,GLOBAL CORE,BIG MAC
MCDNZ,700,LSM BIG MAC,Entrée,GLOBAL CORE,BIG MAC
MCDNZ,716,$3 BIG MAC,Entrée,GLOBAL CORE,BIG MAC
MCDSG,113476,KKH Big Mac Corn Medium EVM,Regular EVM,GLOBAL CORE,BIG MAC
MCDSG,113486,KKH Big Mac Corn Medium EVM (Lunch),Lunch - Regular EVM,GLOBAL CORE,BIG MAC
MCDSG,113933,FSI Big Mac + Coke 12oz,Combo,GLOBAL CORE,BIG MAC
MCDSG,114006,Big Mac Medium EVM w/Twister Fries,Regular EVM,GLOBAL CORE,BIG MAC
MCDSG,124006,Big Mac Large EVM w/Twister Fries,Large EVM,GLOBAL CORE,BIG MAC
MCDTW,-77869,Z-EVM-Big Mac,EVM,GLOBAL CORE,BIG MAC
MCDTW,-71054,Z-Big Mac,Entrees,GLOBAL CORE,BIG MAC
MCDTW,-35404,VD-Big Mac,EVM Value Dinner,GLOBAL CORE,BIG MAC
MCDTW,-7961,Up Size VL-Big Mac,EVM Value Lunch,GLOBAL CORE,BIG MAC
MCDTW,-7960,Up Size EVM-Big Mac,EVM,GLOBAL CORE,BIG MAC
MCDTW,-7869,EVM-Big Mac,EVM,GLOBAL CORE,BIG MAC
MCDTW,-5828,CP 50% meal-Big Mac,EVM,GLOBAL CORE,BIG MAC
MCDTW,-5744,VL-Big Mac,EVM Value Lunch,GLOBAL CORE,BIG MAC
MCDTW,-1054,Big Mac,Entrees,GLOBAL CORE,BIG MAC
MCDCN,3039,3039-NovL-Big Mac+M.Coke,Discount Combo,GLOBAL CORE,BIG MAC
MCDCN,3442,Jan2011M-Bigmac+Fof+5N+2M.Coke+S.Sundae,Discount Combo,GLOBAL CORE,BIG MAC
MCDCN,3444,Jan2011TB-Bigmac+SCFB+L.F+2S.Coke+Oreo,Discount Combo,GLOBAL CORE,BIG MAC
MCDCN,3969,2010 Mobile Meal-BigMac,Discount Combo,GLOBAL CORE,BIG MAC
MCDJP,14511215,Kasazu CPN - EVM + Dessert - Big Mac,Other Bundle,GLOBAL CORE,BIG MAC
MCDJP,14521215,MSM CPN - EVM + Dessert - Big Mac,Other Bundle,GLOBAL CORE,BIG MAC
MCDJP,14531215,EVM + Dessert - Big Mac,Other Bundle,GLOBAL CORE,BIG MAC
MCDJP,15101215,Family Bundle - 2E/3S/2D/1DS - Big Mac,Other Bundle,GLOBAL CORE,BIG MAC
MCDJP,15201215,Family Bundle - 3E/4S/3D/2DS - Big Mac,Other Bundle,GLOBAL CORE,BIG MAC
MCDJP,15241215,Other CPN - Family Bundle - 3E/4S/3D/2DS - Big Mac,Other Bundle,GLOBAL CORE,BIG MAC
MCDJP,15401215,Family Bundle - 2E/3S/3D - Big Mac,Other Bundle,GLOBAL CORE,BIG MAC
MCDJP,15501215,Family Bundle - 3E/6S/3D - Big Mac,Other Bundle,GLOBAL CORE,BIG MAC
MCDJP,15541215,Other CPN - Family Bundle - 3E/6S/3D - Big Mac,Other Bundle,GLOBAL CORE,BIG MAC
MCDJP,15801215,Family Bundle - 2E/4S/2D - Big Mac,Other Bundle,GLOBAL CORE,BIG MAC
MCDJP,16001215,Family Bundle - 3E/5S/3D/1DS - Big Mac,Family Bundle Other,GLOBAL CORE,BIG MAC
MCDJP,16041215,Other CPN - Family Bundle - 3E/5S/3D/1DS - Big Mac,Family Bundle Other,GLOBAL CORE,BIG MAC
MCDJP,16101215,Family Bundle - 3E/4S/4D/1DS - Big Mac,Family Bundle Other,GLOBAL CORE,BIG MAC
MCDJP,16141215,Other CPN - Family Bundle - 3E/4S/4D/1DS - Big Mac,Family Bundle Other,GLOBAL CORE,BIG MAC
MCDJP,80201213,Multi ALC x2 - Big Mac (Navy),Multipe ALC Bundle,GLOBAL CORE,BIG MAC
MCDNZ,1985,$3.50 BIG MAC,Entrée,GLOBAL CORE,BIG MAC
MCDTW,5839,CP $35 Big Mac,Entrees,GLOBAL CORE,BIG MAC
MCDTW,5858,CP 50% Salad-Big Mac,EVM,GLOBAL CORE,BIG MAC
MCDJP,99601213,ALC w/Condiment - Big Mac (Navy),Entree,GLOBAL CORE,BIG MAC
MCDJP,99601215,ALC w/Condiment - Big Mac,Entree,GLOBAL CORE,BIG MAC
MCDJP,99811215,Kasazu CPN - ALC Set - Big Mac,Entree,GLOBAL CORE,BIG MAC
MCDNZ,5307,MED BIG MAC SALAD CB,Medium EVM,GLOBAL CORE,BIG MAC
MCDNZ,5308,LRG BIG MAC SALAD CB,Large EVM,GLOBAL CORE,BIG MAC
MCDNZ,5536,MED BIG MAC SLD LD,VL EVM,GLOBAL CORE,BIG MAC
MCDTW,5923,CP $39 Big Mac,Entrees,GLOBAL CORE,BIG MAC
MCDCN,5916,HM(Nuggets+Fries+Coke+Toy)+BigMac+FOF+McWings 6pcs+M.Nestea+Coffee+L.Corn Cup,Discount Combo,GLOBAL CORE,BIG MAC
MCDJP,99821215,MSM CPN - ALC Set - Big Mac,Entree,GLOBAL CORE,BIG MAC
MCDJP,99831215,ALC Set - Big Mac,Entree,GLOBAL CORE,BIG MAC
MCDNZ,7032,Bun Big Mac,Add-ons,GLOBAL CORE,BIG MAC
MCDNZ,8324,BIG MAC CHB LSM,Large EVM,GLOBAL CORE,BIG MAC
MCDNZ,8401,BIG MAC MED FRIES LSM DEAL,Combo,GLOBAL CORE,BIG MAC
MCDNZ,8409,BIG MAC SML FRIES,Combo,GLOBAL CORE,BIG MAC
MCDNZ,8482,2 BIG MAC SML FRIES,Combo,GLOBAL CORE,BIG MAC
MCDNZ,8483,2 BIG MAC MED FRIES,Combo,GLOBAL CORE,BIG MAC
MCDNZ,8484,2 BIG MAC LRG FRIES,Combo,GLOBAL CORE,BIG MAC
MCDNZ,8600,BIG MAC $2.90,Entrée,GLOBAL CORE,BIG MAC
MCDNZ,8611,2 BIG MACS 2 M/FRIES LSM,Combo,GLOBAL CORE,BIG MAC
MCDNZ,8620,3 BIG MAC $10,Combo,GLOBAL CORE,BIG MAC
MCDNZ,8623,4 BIG MAC $10,Combo,GLOBAL CORE,BIG MAC
MCDTW,35717,CP $40 Big Mac,Entrees,GLOBAL CORE,BIG MAC
MCDAU,-2861,CHEESEBURGER HAPPYMEAL - Agg,Happy Meals,GLOBAL CORE,CHEESEBURGER
MCDAU,-2514,LRG CHEESEBURGER VM,Large EVM,GLOBAL CORE,CHEESEBURGER
MCDAU,-2513,MED CHEESEBURGER VM,Medium EVM,GLOBAL CORE,CHEESEBURGER
MCDAU,-2512,SML CHEESEBURGER VM,Small EVM,GLOBAL CORE,CHEESEBURGER
MCDJP,99841020,Other CPN - ALC Set - Cheeseburger,Entree,GLOBAL CORE,CHEESEBURGER
MCDJP,99841360,Other CPN - ALC Set - Double Cheeseburger,Entree,GLOBAL CORE,CHEESEBURGER
MCDTW,71044,Z-Double Cheese Burger,Entrees,GLOBAL CORE,CHEESEBURGER
MCDAU,2511,CHEESEBURGER,Entrée,GLOBAL CORE,CHEESEBURGER
MCDAU,3284,3 CHB FOR $3,Combo,GLOBAL CORE,CHEESEBURGER
MCDAU,3285,$1.20 CHB,Entrée,GLOBAL CORE,CHEESEBURGER
MCDAU,3406,CHEESEBGR SLD VM - SML,Small EVM,GLOBAL CORE,CHEESEBURGER
MCDAU,3407,CHEESEBGR SLD VM - MED,Medium EVM,GLOBAL CORE,CHEESEBURGER
MCDAU,3408,CHEESEBGR SLD VM - LGE,Large EVM,GLOBAL CORE,CHEESEBURGER
MCDAU,3651,$2 DOUBLE CHB,Entrée,GLOBAL CORE,CHEESEBURGER
MCDAU,3675,$3 CHEESEBGR VM,Small EVM,GLOBAL CORE,CHEESEBURGER
MCDHK,-9609,EVML DBL CHEESE NP6,All EVM (Combined),GLOBAL CORE,CHEESEBURGER
MCDHK,1010,Cheeseburger,Entrees,GLOBAL CORE,CHEESEBURGER
MCDHK,1120,Double Cheeseburger,Entrees,GLOBAL CORE,CHEESEBURGER
MCDAU,5050,ON-DBL CHEESEBURGER,Entrée,GLOBAL CORE,CHEESEBURGER
MCDAU,5253,$2 CHEESEBGR VM,Happy Meals,GLOBAL CORE,CHEESEBURGER
MCDAU,5301,CHEESEBURGER SML FRIES,Combo,GLOBAL CORE,CHEESEBURGER
MCDHK,2078,$8 Ham & Cheeseburger AM,Breakfast Entrée,GLOBAL CORE,CHEESEBURGER
MCDJP,99901020,Misc Set - Cheeseburger,Entree,GLOBAL CORE,CHEESEBURGER
MCDJP,99901360,Misc Set - Double Cheeseburger,Entree,GLOBAL CORE,CHEESEBURGER
MCDAU,8164,$5 CHB VM + RG CHOC,Medium EVM,GLOBAL CORE,CHEESEBURGER
MCDAU,8165,$5 CHB VM + RG STRW,Medium EVM,GLOBAL CORE,CHEESEBURGER
MCDAU,8166,$5 CHB VM + RG CARA,Medium EVM,GLOBAL CORE,CHEESEBURGER
MCDAU,8167,$5 CHB VM + RG PLAN,Medium EVM,GLOBAL CORE,CHEESEBURGER
MCDAU,8168,$5 CHB VM + APP PIE,Medium EVM,GLOBAL CORE,CHEESEBURGER
MCDAU,8176,$5 SCHBVM+RG CHCSUN,Small EVM,GLOBAL CORE,CHEESEBURGER
MCDAU,8178,$5 SCHBVM+RG STRSUN,Small EVM,GLOBAL CORE,CHEESEBURGER
MCDAU,8192,SML CHB VM $1.55,Combo,GLOBAL CORE,CHEESEBURGER
MCDHK,5956,Ham & Cheeseburger EVB,EVB,GLOBAL CORE,CHEESEBURGER
MCDHK,6187,DOUBLE CHEESEBURGER EVM+,All EVM (Combined),GLOBAL CORE,CHEESEBURGER
MCDHK,6367,Double Cheeseburger+,Entrees,GLOBAL CORE,CHEESEBURGER
MCDHK,6541,Cheeseburger,Combo,GLOBAL CORE,CHEESEBURGER
MCDHK,6749,HM - CHEESEBURGER,HM,GLOBAL CORE,CHEESEBURGER
MCDHK,6965,$23 DBL CHEESEBURGER LUNCH COUPON,All EVM (Combined),GLOBAL CORE,CHEESEBURGER
MCDAU,8205,$1.50 CHEESEBURGER,Entrée,GLOBAL CORE,CHEESEBURGER
MCDAU,8228,$1 CHEESEBURGER,Entrée,GLOBAL CORE,CHEESEBURGER
MCDAU,8231,50c CHEESEBURGER,Entrée,GLOBAL CORE,CHEESEBURGER
MCDAU,8233,95c CHEESEBURGER,Entrée,GLOBAL CORE,CHEESEBURGER
MCDAU,8234,$1 CHEESEBURGER,Entrée,GLOBAL CORE,CHEESEBURGER
MCDAU,8235,$2 CHB DEAL,Combo,GLOBAL CORE,CHEESEBURGER
MCDAU,8236,CHB + S/FRIES $2.40,Combo,GLOBAL CORE,CHEESEBURGER
MCDAU,8237,CHB + SML FRIES,Combo,GLOBAL CORE,CHEESEBURGER
MCDAU,8239,2 CHB&L/FRIES $4.50,Combo,GLOBAL CORE,CHEESEBURGER
MCDAU,8282,2 CHB&L/FRIES $3.50,Combo,GLOBAL CORE,CHEESEBURGER
MCDAU,8293,MAC & 2 CHB $5.50,Combo,GLOBAL CORE,CHEESEBURGER
